make,year,mileage,horsepower,engine_size,num_cylinders,fuel_type,body_style,transmission,color,condition,owner_count,accident_history,service_history,price
Ford,2010,78686,256,4.5,12,Electric,Wagon,CVT,White,Excellent,1,0,0,57770
Ford,2009,72661,70,3.5,10,Electric,Pickup,Manual,Gold,Excellent,1,1,0,35518
Hyundai,2010,49247,293,6.9,6,Hybrid,Crossover,Automatic,Silver,Poor,3,0,0,43900
Mercedes,2014,152820,445,1.7,6,Electric,Wagon,Manual,Brown,Poor,3,1,1,43963
Ford,2008,110113,254,3.7,8,Diesel,Sedan,Automatic,Brown,Poor,3,0,0,32491
Honda,2017,9621,178,5.0,12,Electric,Coupe,Automatic,Black,Fair,2,1,1,54803
Hyundai,2015,151106,79,3.3,12,Hybrid,Hatchback,Automatic,Black,Poor,2,1,0,26195
Mazda,2020,247999,320,6.8,10,Diesel,Coupe,Automatic,Gold,Good,1,0,0,64748
Honda,2017,141198,352,5.3,10,Hybrid,Wagon,Manual,Silver,Fair,3,0,1,53289
Hyundai,2017,141194,315,4.9,12,Electric,Wagon,CVT,Black,Excellent,1,0,0,67877
Mercedes,2017,23030,281,5.5,10,Hybrid,Wagon,Automatic,Brown,Excellent,4,0,1,58243
Nissan,2021,87838,285,6.7,12,Hybrid,Coupe,Manual,Gray,Excellent,4,1,1,64833
Chevrolet,2009,89717,112,6.4,4,Gasoline,Wagon,Automatic,White,Fair,3,0,1,24065
Mazda,2010,191730,414,5.3,12,Electric,Sedan,Manual,White,Good,3,0,1,61147
Volkswagen,2016,43638,401,5.4,6,Electric,Wagon,Manual,Silver,Poor,4,0,0,57496
Nissan,2014,72067,423,1.7,10,Hybrid,SUV,Manual,Gold,Poor,3,1,1,47064
Audi,2011,242548,339,1.4,12,Gasoline,Pickup,CVT,Black,Excellent,2,0,0,40961
Honda,2017,123033,140,4.3,12,Electric,Coupe,Manual,Gray,Excellent,2,0,1,56671
Audi,2012,110977,261,0.9,10,Diesel,SUV,Manual,White,Fair,3,0,1,38544
Nissan,2009,93869,217,3.8,4,Hybrid,Wagon,CVT,White,Good,4,1,1,28315
Hyundai,2020,110186,179,2.1,4,Electric,Sedan,CVT,Red,Poor,1,0,1,38385
Volkswagen,2018,39674,118,2.9,10,Diesel,Hatchback,Manual,Gold,Fair,3,0,0,37881
Mazda,2020,171926,274,5.6,3,Electric,Crossover,CVT,Red,Poor,3,0,1,42906
Mazda,2015,51271,187,6.6,10,Diesel,Pickup,Automatic,Brown,Excellent,1,0,1,63610
Mazda,2011,78688,283,1.2,10,Hybrid,Crossover,Automatic,White,Poor,3,0,1,33388
Volkswagen,2016,174590,268,4.1,4,Electric,Wagon,CVT,Silver,Good,1,1,1,44771
Toyota,2012,116076,429,6.3,4,Electric,Pickup,CVT,Blue,Good,4,1,0,55855
Volkswagen,2020,146339,174,1.3,10,Gasoline,Pickup,Manual,Blue,Excellent,2,0,0,40753
Chevrolet,2016,226897,268,5.9,10,Hybrid,Sedan,CVT,Gray,Good,4,1,0,46865
Volkswagen,2011,6062,73,3.0,10,Diesel,Pickup,Manual,White,Good,2,0,1,39014
Nissan,2017,55448,68,2.8,4,Electric,Coupe,Automatic,White,Fair,1,1,0,30846
Toyota,2012,100462,99,6.9,10,Electric,SUV,CVT,Brown,Poor,2,1,0,40210
Mazda,2016,142301,296,2.0,10,Diesel,SUV,Manual,White,Excellent,4,0,0,47032
Nissan,2015,192865,340,5.1,8,Hybrid,SUV,Manual,Silver,Excellent,2,1,1,56410
Nissan,2023,52915,418,5.9,3,Gasoline,Coupe,Automatic,Red,Excellent,1,0,0,65193
Kia,2010,9632,260,1.1,6,Gasoline,Crossover,CVT,White,Excellent,2,0,0,31879
BMW,2008,109592,305,5.0,3,Electric,Sedan,Automatic,White,Excellent,3,0,0,40947
Toyota,2010,139668,337,6.7,8,Diesel,Pickup,Manual,Brown,Good,4,0,0,45783
Nissan,2023,114779,294,1.6,6,Electric,Coupe,Manual,Gold,Fair,3,1,0,37987
BMW,2011,142240,63,6.4,10,Diesel,SUV,CVT,Black,Excellent,1,1,0,39704
BMW,2009,113099,213,4.5,8,Gasoline,Wagon,Manual,Gold,Fair,2,0,0,34211
Toyota,2008,12561,88,4.6,10,Hybrid,Hatchback,CVT,Brown,Fair,3,1,1,25834
Kia,2014,209866,168,4.6,4,Diesel,Pickup,Automatic,Gold,Good,3,1,1,35679
Audi,2023,87152,157,2.7,12,Gasoline,Coupe,CVT,Brown,Excellent,2,0,0,53232
Hyundai,2015,130036,274,6.6,8,Electric,Coupe,CVT,Silver,Good,2,0,1,55141
Chevrolet,2014,129049,352,6.7,4,Diesel,Sedan,Manual,Gray,Excellent,4,0,0,48547
Hyundai,2021,31734,134,4.7,8,Hybrid,Sedan,Manual,White,Good,3,0,1,54210
Volkswagen,2023,142443,385,5.7,8,Electric,Coupe,CVT,Brown,Fair,3,1,1,62599
Mazda,2012,31069,205,4.6,4,Electric,SUV,Manual,Brown,Excellent,1,0,0,46595
Chevrolet,2019,215977,187,3.8,6,Gasoline,Hatchback,Manual,Black,Poor,4,1,0,21830
Volkswagen,2008,17910,400,4.9,3,Diesel,Pickup,Manual,Brown,Fair,1,0,0,45771
Nissan,2014,78479,101,4.2,10,Electric,Sedan,CVT,Blue,Poor,3,0,0,32823
Mazda,2020,213807,415,4.5,8,Hybrid,Pickup,Manual,Gray,Fair,1,0,1,53612
Honda,2014,86264,100,5.7,10,Diesel,SUV,CVT,White,Good,3,0,0,41696
Toyota,2016,28275,93,3.8,12,Hybrid,Pickup,Manual,White,Excellent,3,0,0,46908
Chevrolet,2010,77274,76,1.1,4,Electric,Wagon,Automatic,Black,Fair,1,0,0,21719
Chevrolet,2016,217521,224,1.8,10,Hybrid,Sedan,Manual,Silver,Good,1,0,0,44591
Nissan,2021,105776,212,3.5,4,Gasoline,SUV,Manual,White,Excellent,2,0,0,47357
Audi,2008,196076,437,5.3,10,Hybrid,SUV,CVT,Blue,Excellent,2,0,0,58616
BMW,2008,199053,135,4.5,3,Diesel,Hatchback,CVT,White,Fair,2,1,1,19845
Mazda,2021,220731,146,4.8,3,Hybrid,Hatchback,Manual,Blue,Excellent,3,0,0,42569
Nissan,2011,190625,176,3.8,3,Hybrid,Wagon,Automatic,Gray,Fair,1,0,0,34650
Ford,2023,53447,421,4.6,3,Gasoline,SUV,Manual,Gray,Excellent,4,0,1,60665
Kia,2016,170601,401,2.8,3,Hybrid,Crossover,Manual,Red,Poor,3,0,0,36539
BMW,2013,131394,86,3.7,3,Hybrid,SUV,Automatic,Red,Good,4,1,1,29110
Toyota,2020,80703,372,5.4,4,Electric,Hatchback,CVT,Blue,Poor,1,0,1,64361
BMW,2018,81090,346,6.2,8,Electric,Crossover,Manual,Silver,Fair,3,0,0,59024
Audi,2010,22260,193,3.5,10,Diesel,Sedan,CVT,White,Poor,4,1,0,22330
BMW,2008,117581,278,1.1,3,Electric,Sedan,CVT,Brown,Fair,4,0,0,28485
Toyota,2011,8812,227,1.8,4,Electric,Pickup,Automatic,White,Excellent,2,0,0,40878
Audi,2019,164096,157,0.9,4,Electric,Coupe,Automatic,Red,Excellent,2,0,0,40764
Hyundai,2020,194728,327,4.9,4,Electric,Hatchback,CVT,Gold,Fair,2,0,0,55670
Chevrolet,2016,121148,296,2.9,8,Gasoline,Coupe,Manual,Brown,Poor,3,0,0,33450
Chevrolet,2010,163357,368,4.2,10,Electric,Crossover,CVT,Blue,Excellent,1,0,0,54012
Kia,2019,228508,232,3.9,8,Gasoline,Hatchback,Manual,Brown,Good,1,1,1,39153
Volkswagen,2016,121421,249,1.3,6,Gasoline,Wagon,Manual,Gold,Excellent,2,1,0,35152
Hyundai,2014,6605,181,3.3,4,Electric,SUV,Automatic,White,Good,2,0,0,49092
Hyundai,2019,207230,105,2.2,6,Hybrid,Wagon,Manual,White,Poor,2,0,0,27184
Mazda,2021,77303,123,3.4,12,Gasoline,Crossover,Manual,Silver,Good,4,1,1,45110
BMW,2022,163211,189,2.1,3,Hybrid,Hatchback,CVT,Black,Good,2,0,0,39889
Chevrolet,2023,213221,369,6.0,3,Hybrid,Crossover,Automatic,Brown,Good,4,1,1,60420
Toyota,2011,192210,422,1.9,8,Electric,SUV,Manual,Red,Good,1,1,0,46407
Mercedes,2010,81125,252,6.8,10,Diesel,Sedan,Manual,Gold,Excellent,3,1,1,54887
Mercedes,2017,149990,366,3.4,6,Electric,Sedan,Automatic,Gold,Good,3,0,0,58770
Audi,2022,221727,240,6.0,10,Diesel,Crossover,CVT,Gold,Excellent,3,0,0,56964
Chevrolet,2023,163518,351,4.7,8,Diesel,Coupe,Automatic,Red,Good,3,0,0,64508
Chevrolet,2012,129040,430,5.4,3,Electric,Hatchback,Automatic,Black,Fair,4,1,0,49180
Kia,2012,149118,341,5.6,10,Electric,Hatchback,Manual,White,Poor,4,0,0,51745
Mercedes,2010,160890,88,3.9,10,Diesel,Sedan,Manual,Silver,Good,2,1,0,17457
Chevrolet,2019,236966,208,4.2,3,Electric,Pickup,CVT,Silver,Fair,4,0,1,42529
Kia,2016,9324,326,4.0,6,Diesel,Wagon,Manual,Red,Good,2,0,1,54807
BMW,2011,81323,355,4.4,3,Hybrid,Pickup,Manual,Silver,Good,2,0,0,48173
Ford,2018,14111,70,1.0,10,Electric,SUV,Automatic,Gold,Good,3,0,0,43231
Mazda,2012,174182,223,3.3,6,Hybrid,Wagon,Manual,Gray,Fair,4,0,0,29247
Honda,2011,21389,172,4.6,6,Gasoline,Wagon,CVT,Black,Poor,4,0,1,30927
Hyundai,2012,127177,246,4.5,3,Hybrid,Crossover,Automatic,White,Fair,2,1,0,33413
Volkswagen,2014,46427,354,5.7,10,Hybrid,Sedan,CVT,Gray,Poor,2,0,1,56247
Audi,2023,215651,291,4.9,8,Diesel,Pickup,Automatic,Black,Good,1,0,0,63958
Ford,2016,164818,286,7.0,10,Hybrid,Pickup,Manual,Blue,Excellent,1,0,0,65369
Mazda,2014,127883,369,2.6,4,Electric,Sedan,Automatic,Brown,Good,2,1,1,48344
Mazda,2020,223958,157,3.0,12,Diesel,Pickup,Automatic,Red,Poor,1,1,1,45502
Mazda,2012,243213,114,3.2,8,Gasoline,Sedan,Manual,Gold,Fair,1,0,0,19840
Mazda,2017,136189,170,3.7,6,Electric,Crossover,Manual,Silver,Good,2,1,0,34917
Mercedes,2017,130808,211,6.0,8,Gasoline,Coupe,CVT,Blue,Fair,2,1,1,40052
Kia,2014,117221,305,2.3,6,Hybrid,Wagon,CVT,Silver,Fair,4,0,0,35677
Hyundai,2021,220543,128,5.6,6,Electric,Crossover,Manual,Gray,Fair,2,0,1,48128
Chevrolet,2022,248685,371,3.3,8,Electric,Hatchback,Manual,White,Good,2,0,0,59471
Mazda,2017,18234,348,4.5,6,Gasoline,SUV,Manual,White,Fair,3,0,1,53448
Volkswagen,2012,239936,309,4.7,6,Electric,Coupe,Automatic,White,Fair,4,1,1,45205
Chevrolet,2010,58441,95,3.1,4,Electric,Hatchback,Automatic,Gold,Good,4,0,0,30301
Toyota,2014,5846,298,4.0,10,Electric,Wagon,Automatic,Silver,Fair,4,1,1,51636
Toyota,2020,15954,207,3.4,10,Hybrid,Pickup,Manual,Blue,Good,3,0,0,53252
Volkswagen,2018,84239,286,1.2,12,Gasoline,Sedan,CVT,White,Poor,2,0,0,34777
Kia,2018,249761,303,3.5,12,Electric,Wagon,Manual,Blue,Poor,4,0,0,38842
Volkswagen,2009,51514,396,1.4,4,Diesel,Crossover,Automatic,Silver,Poor,4,0,0,28158
Mercedes,2022,93236,424,3.3,12,Diesel,SUV,Automatic,Gold,Fair,1,1,1,58251
Volkswagen,2019,102579,260,4.5,8,Diesel,Crossover,Manual,Gray,Excellent,4,1,0,48813
BMW,2016,142541,213,4.4,3,Diesel,Coupe,Manual,Gold,Excellent,2,0,0,40255
Chevrolet,2017,166177,132,4.9,3,Hybrid,Coupe,Automatic,Blue,Fair,2,0,0,30844
Ford,2017,47101,260,1.4,3,Electric,SUV,Automatic,Gold,Excellent,1,0,0,52179
Nissan,2019,69323,355,4.8,4,Gasoline,Hatchback,Automatic,Gold,Good,4,0,0,48004
Kia,2008,96922,76,2.7,4,Electric,Hatchback,Manual,Gray,Excellent,4,0,1,27054
Volkswagen,2020,194139,188,3.3,6,Hybrid,Coupe,Automatic,Silver,Fair,4,0,1,41028
Audi,2013,185448,276,6.1,3,Diesel,Coupe,Automatic,Silver,Fair,3,0,1,37441
Toyota,2014,181659,120,0.9,8,Hybrid,Pickup,CVT,Red,Good,4,1,0,21788
BMW,2021,173048,163,4.4,12,Electric,Sedan,Manual,Gold,Poor,2,0,0,49133
Hyundai,2020,240659,101,4.5,8,Gasoline,Pickup,CVT,Silver,Fair,2,0,0,29569
Mazda,2015,132534,84,3.3,12,Hybrid,Pickup,CVT,Silver,Good,3,0,0,39158
Nissan,2017,72584,98,2.3,3,Gasoline,Hatchback,Automatic,Black,Excellent,3,0,0,25259
Kia,2016,109537,350,2.3,3,Hybrid,SUV,Manual,White,Excellent,4,0,0,49061
Ford,2009,83477,190,6.3,3,Gasoline,Hatchback,Automatic,Red,Good,1,1,0,29840
Nissan,2018,246983,288,3.5,4,Gasoline,Sedan,Manual,Brown,Good,3,1,1,30110
Volkswagen,2017,47533,167,2.9,12,Diesel,Crossover,CVT,Red,Fair,3,0,0,37704
Mercedes,2009,6828,231,3.6,4,Gasoline,Coupe,Manual,Red,Excellent,4,0,0,29542
Toyota,2012,6917,161,5.0,4,Diesel,Coupe,Automatic,Brown,Good,4,0,0,38758
Toyota,2020,25618,413,1.7,10,Electric,Sedan,Automatic,Black,Excellent,3,1,0,63481
Hyundai,2012,37254,71,3.6,8,Electric,Pickup,Automatic,Gold,Good,1,0,1,40373
Mercedes,2013,110292,334,4.4,8,Diesel,SUV,Manual,Gray,Excellent,3,0,0,57478
Mazda,2010,52362,160,6.7,6,Diesel,Coupe,CVT,Silver,Poor,4,0,0,32358
Chevrolet,2015,25128,103,2.4,4,Hybrid,Wagon,CVT,White,Fair,4,0,0,24117
Honda,2023,128781,364,3.0,12,Hybrid,Pickup,Manual,Blue,Excellent,3,0,0,62615
BMW,2020,247353,76,3.2,10,Hybrid,Coupe,Automatic,Gold,Poor,1,1,0,29565
Toyota,2008,195455,389,4.6,10,Electric,Wagon,CVT,Brown,Excellent,3,0,1,53114
Audi,2013,70545,116,3.0,8,Hybrid,Sedan,Automatic,Gray,Excellent,3,0,1,40750
Toyota,2011,87180,370,4.1,4,Gasoline,Sedan,Manual,Gold,Poor,4,0,1,35556
Nissan,2008,92958,362,5.6,6,Gasoline,Pickup,Automatic,Brown,Excellent,1,1,0,48651
Toyota,2022,145937,71,5.2,4,Hybrid,Coupe,CVT,Silver,Excellent,2,1,1,38147
Kia,2014,138291,377,3.6,3,Gasoline,Hatchback,CVT,Black,Fair,1,0,0,39096
Toyota,2016,44809,139,6.2,4,Electric,Wagon,Automatic,Gold,Poor,3,1,0,36916
Honda,2020,121748,275,4.3,3,Gasoline,SUV,Manual,Brown,Poor,3,0,1,49831
Honda,2011,10287,398,4.1,3,Electric,Coupe,Automatic,Silver,Good,3,0,0,51915
Mazda,2011,170459,323,1.0,6,Diesel,SUV,Manual,Silver,Excellent,1,0,0,38298
Ford,2013,13512,208,6.9,12,Diesel,Coupe,Automatic,Black,Fair,4,0,1,50455
Chevrolet,2019,137414,140,1.6,8,Diesel,Hatchback,CVT,Red,Excellent,3,0,0,37251
Audi,2022,199148,274,2.2,4,Diesel,Hatchback,Manual,Gold,Excellent,3,0,0,38598
Toyota,2010,113872,433,1.1,3,Gasoline,Pickup,Manual,Gold,Good,1,0,0,38738
Toyota,2020,155288,257,4.8,4,Hybrid,Pickup,Manual,Red,Excellent,2,1,1,51529
BMW,2019,98070,259,2.2,12,Gasoline,Hatchback,CVT,White,Fair,2,0,1,44517
Honda,2013,84767,84,1.9,8,Electric,Crossover,Automatic,White,Fair,4,0,1,26426
Audi,2014,102829,148,1.3,12,Gasoline,Hatchback,CVT,Red,Good,4,0,0,25263
Mazda,2018,162686,327,1.4,8,Gasoline,Sedan,Manual,Gray,Excellent,3,1,0,41676
Hyundai,2017,172330,202,4.4,10,Electric,Sedan,Automatic,Blue,Fair,1,0,0,52375
Ford,2017,229861,118,5.1,8,Diesel,Crossover,CVT,Silver,Excellent,3,0,0,40788
Chevrolet,2010,47078,424,3.3,6,Diesel,Wagon,Manual,Blue,Excellent,4,1,0,37545
Mercedes,2014,111288,85,3.8,12,Diesel,SUV,Manual,Silver,Excellent,1,0,0,45710
Chevrolet,2021,88524,106,5.1,3,Hybrid,Coupe,CVT,Red,Good,1,0,0,39466
Kia,2010,232645,347,0.9,10,Electric,Coupe,CVT,White,Excellent,4,1,1,35807
Nissan,2020,17219,325,2.8,6,Electric,Crossover,CVT,Gray,Fair,2,0,0,56280
Kia,2020,5235,75,6.8,4,Gasoline,Sedan,Manual,White,Excellent,2,0,0,48015
Toyota,2009,47929,258,4.4,12,Hybrid,Pickup,CVT,Blue,Fair,1,0,0,47413
Ford,2019,132309,341,2.4,3,Diesel,Coupe,Manual,White,Excellent,3,0,1,52429
Nissan,2021,72444,145,4.0,8,Hybrid,Sedan,CVT,Red,Fair,2,0,1,48106
Audi,2017,144639,309,2.9,3,Electric,Wagon,Manual,Gray,Fair,3,0,1,36993
Mercedes,2011,106834,329,4.1,4,Electric,SUV,Manual,Blue,Excellent,2,0,1,52576
Honda,2019,206864,394,1.6,10,Gasoline,Wagon,Automatic,Gray,Excellent,2,0,0,52309
Ford,2015,201513,176,1.6,10,Gasoline,Crossover,CVT,Gold,Fair,3,1,0,20238
Ford,2020,89555,66,1.7,12,Electric,Hatchback,CVT,Silver,Poor,4,0,0,32371
Kia,2022,78698,196,6.6,10,Diesel,Hatchback,Manual,White,Good,2,0,0,55908
Toyota,2016,129450,430,5.3,12,Diesel,Hatchback,Manual,Gray,Poor,2,1,0,60268
Volkswagen,2014,141487,235,1.8,12,Hybrid,Wagon,Manual,Black,Poor,3,0,0,33189
Mazda,2008,172231,387,2.0,12,Electric,Coupe,Automatic,Gold,Excellent,4,0,1,56907
Kia,2010,48925,374,5.3,8,Electric,SUV,Automatic,White,Good,2,1,1,54998
Ford,2020,142023,274,1.8,6,Diesel,Hatchback,Manual,Silver,Poor,2,0,1,41350
BMW,2019,92388,141,2.3,12,Diesel,Crossover,CVT,Gray,Excellent,4,0,1,45627
Mercedes,2021,13007,282,6.8,12,Electric,Crossover,CVT,Blue,Poor,2,1,1,61663
Mazda,2016,177904,431,2.4,6,Gasoline,Hatchback,Automatic,Silver,Poor,4,0,0,36520
Kia,2022,63596,162,4.9,3,Electric,Hatchback,Automatic,Black,Excellent,4,0,0,52616
Mercedes,2019,126101,332,6.9,12,Electric,SUV,Manual,Gray,Excellent,3,0,1,73854
BMW,2008,166595,73,3.1,8,Diesel,Hatchback,CVT,Brown,Excellent,1,0,1,27163
Hyundai,2016,93861,218,0.9,10,Diesel,SUV,Manual,Brown,Good,4,0,0,31319
BMW,2015,91740,211,2.3,10,Gasoline,Crossover,Automatic,Red,Poor,3,1,1,31492
BMW,2008,20524,167,6.0,4,Gasoline,Hatchback,CVT,White,Excellent,1,0,0,39885
Mercedes,2013,155354,247,6.2,4,Hybrid,Wagon,CVT,Blue,Fair,2,1,0,37322
Chevrolet,2012,160002,360,5.6,10,Electric,Pickup,Automatic,Red,Poor,1,0,1,64692
Mercedes,2013,136149,157,1.5,10,Diesel,Wagon,Manual,Gray,Fair,4,1,0,22431
Volkswagen,2017,241953,190,5.7,8,Gasoline,Crossover,Manual,Brown,Good,4,1,0,36919
Toyota,2019,130501,352,6.5,6,Hybrid,SUV,CVT,Brown,Excellent,4,0,0,67670
Nissan,2020,25611,230,4.5,4,Hybrid,Wagon,Automatic,Brown,Fair,4,0,1,39228
Chevrolet,2023,153056,242,6.6,6,Diesel,SUV,CVT,Gray,Good,4,0,0,57999
Honda,2020,19060,423,5.9,8,Diesel,Wagon,Automatic,Brown,Excellent,3,0,1,69109
Nissan,2020,219057,98,4.9,10,Hybrid,Wagon,Manual,Silver,Fair,4,1,0,29715
Toyota,2022,220128,74,4.4,12,Gasoline,SUV,Automatic,Gold,Fair,3,1,0,32915
Kia,2012,48303,435,3.0,6,Hybrid,Coupe,Manual,Gray,Good,2,0,1,52312
